FL_MONTH,DEP_HOUR,OP_UNIQUE_CARRIER,ORIGIN,DEST,DELAY_CATEGORY
8,7,NK,DTW,LGA,MAJOR_DELAY
7,7,HA,KOA,HNL,NO_DELAY
10,8,DL,BOS,ATL,NO_DELAY
3,16,OO,DCA,JFK,NO_DELAY
10,16,OH,CLT,LEX,NO_DELAY
7,19,UA,EWR,LAX,NO_DELAY
12,5,YX,HVN,PHL,NO_DELAY
1,15,YX,CMH,DTW,MAJOR_DELAY
6,12,9E,ATL,TLH,NO_DELAY
8,15,AS,LAX,LAS,NO_DELAY
11,5,OH,DAY,PHL,NO_DELAY
8,7,UA,BOI,DEN,NO_DELAY
7,14,OO,DAL,SFO,NO_DELAY
7,17,DL,ATL,SAN,MINOR_DELAY
4,9,EV,IAH,LRD,NO_DELAY
12,14,WN,BWI,PVD,NO_DELAY
11,5,DL,LAX,SLC,NO_DELAY
7,8,WN,OAK,ONT,NO_DELAY
10,6,WN,TPA,BWI,NO_DELAY
8,5,YX,BTV,PHL,NO_DELAY
10,19,B6,RDU,JFK,NO_DELAY
6,12,WN,RDU,MDW,NO_DELAY
8,23,WN,MCO,STL,MAJOR_DELAY
12,7,AA,CLT,MCO,NO_DELAY
12,22,F9,DEN,LAX,NO_DELAY
4,13,B6,EWR,FLL,NO_DELAY
4,11,YV,PSP,PHX,NO_DELAY
4,6,AS,LAX,IAD,NO_DELAY
12,5,YV,MSP,IAH,NO_DELAY
4,18,WN,DAL,LGA,NO_DELAY
12,20,OO,ATL,ABY,NO_DELAY
8,11,WN,DEN,MDW,NO_DELAY
6,10,DL,FLL,ATL,MINOR_DELAY
1,16,YV,CHA,DFW,NO_DELAY
11,7,AA,CHS,CLT,NO_DELAY
4,21,AS,SEA,SLC,NO_DELAY
8,8,B6,JFK,ORD,MINOR_DELAY
4,8,AS,LAX,LAS,NO_DELAY
9,19,YV,ATL,IAD,NO_DELAY
5,14,OO,MSP,RHI,NO_DELAY
10,20,AA,CLT,BDL,NO_DELAY
1,12,DL,ORF,ATL,NO_DELAY
9,15,DL,MIA,ATL,NO_DELAY
9,21,DL,ATL,SAV,NO_DELAY
5,16,UA,EWR,LAX,MAJOR_DELAY
5,21,OO,ATL,ORD,NO_DELAY
7,18,DL,JFK,ATL,NO_DELAY
9,5,WN,DAL,SAT,NO_DELAY
10,6,UA,SMF,DEN,MINOR_DELAY
7,13,AA,PHL,PIT,NO_DELAY
8,19,AA,JAX,DFW,NO_DELAY
5,14,DL,MCI,SLC,NO_DELAY
11,18,AS,LAX,SEA,NO_DELAY
10,13,B6,MCO,BDL,SEVERE_DELAY
3,6,AA,RSW,PHL,NO_DELAY
9,19,OO,IAH,ICT,NO_DELAY
4,19,B6,BUR,BOS,NO_DELAY
5,18,NK,BWI,LAX,NO_DELAY
5,14,YV,FSM,DFW,NO_DELAY
7,14,AS,ANC,SEA,NO_DELAY
4,15,DL,ATL,DEN,MINOR_DELAY
4,17,NK,RIC,FLL,NO_DELAY
12,9,DL,ATL,AUS,NO_DELAY
6,16,B6,JFK,ACK,NO_DELAY
9,15,NK,STX,FLL,NO_DELAY
1,22,OO,PLN,APN,NO_DELAY
3,19,UA,HNL,IAH,NO_DELAY
9,21,B6,MCO,SYR,NO_DELAY
4,8,YX,EWR,CLT,MINOR_DELAY
9,13,UA,DEN,STL,NO_DELAY
10,20,YX,LGA,SDF,NO_DELAY
11,6,AA,DCA,DFW,NO_DELAY
5,15,AS,ANC,FAI,NO_DELAY
6,5,UA,SMF,IAH,NO_DELAY
1,13,YV,JAX,IAD,NO_DELAY
12,7,F9,LAS,SEA,NO_DELAY
8,13,OO,DTW,TVC,NO_DELAY
10,12,WN,MDW,SAN,NO_DELAY
1,22,NK,FLL,EWR,SEVERE_DELAY
10,18,UA,IAD,SFO,NO_DELAY
3,7,DL,LGA,MIA,NO_DELAY
11,14,MQ,SGF,DFW,NO_DELAY
7,19,AS,JNU,ANC,NO_DELAY
8,21,OH,ORF,CLT,MAJOR_DELAY
11,10,AA,MIA,STT,NO_DELAY
8,12,AS,JFK,LAX,NO_DELAY
7,20,OO,MOT,DEN,NO_DELAY
7,10,WN,SJC,BUR,NO_DELAY
10,10,WN,MDW,MCI,NO_DELAY
4,13,9E,ATL,RST,NO_DELAY
6,19,UA,IAH,SNA,MINOR_DELAY
2,9,WN,LAS,PIT,NO_DELAY
11,18,OO,ORD,MKE,MINOR_DELAY
4,15,DL,DTW,JFK,NO_DELAY
1,12,DL,DTW,BOS,NO_DELAY
3,6,YX,MEM,PHL,NO_DELAY
1,9,G4,ROC,SFB,NO_DELAY
6,18,9E,MLI,ATL,MAJOR_DELAY
11,12,AS,BET,ANC,NO_DELAY
9,14,WN,BWI,MCO,NO_DELAY
5,15,OO,DEN,SGU,NO_DELAY
12,20,MQ,DFW,DRT,NO_DELAY
1,15,AA,JAX,CLT,NO_DELAY
7,15,UA,LAX,OGG,NO_DELAY
11,11,DL,LAS,SLC,NO_DELAY
4,10,MQ,CLL,DFW,NO_DELAY
3,21,DL,ATL,AUS,MINOR_DELAY
9,15,YX,LGA,BNA,MINOR_DELAY
7,18,MQ,TYR,DFW,NO_DELAY
9,11,UA,DEN,LGA,NO_DELAY
10,12,OO,IAH,MAF,NO_DELAY
7,11,OH,MYR,CLT,NO_DELAY
6,10,G4,PBG,SFB,MAJOR_DELAY
11,13,AA,SFO,CLT,NO_DELAY
12,7,EV,SHV,IAH,NO_DELAY
6,14,YV,CMH,IAD,MINOR_DELAY
8,19,OH,GSO,CLT,NO_DELAY
9,18,AA,DFW,PHX,NO_DELAY
10,11,9E,IND,RDU,NO_DELAY
5,10,OO,BUR,PDX,NO_DELAY
8,21,YX,PIT,LGA,SEVERE_DELAY
7,16,DL,SJC,SEA,NO_DELAY
7,9,YV,IAH,MFE,NO_DELAY
6,5,YX,LGA,ATL,NO_DELAY
1,11,MQ,ORD,CLE,NO_DELAY
1,18,UA,DEN,MSN,MINOR_DELAY
8,22,YX,MIA,EYW,NO_DELAY
4,6,AA,SJC,PHX,NO_DELAY
1,15,UA,MSY,SFO,NO_DELAY
7,6,OO,ISN,MSP,NO_DELAY
11,16,WN,CLE,PHX,NO_DELAY
5,8,UA,LAX,KOA,NO_DELAY
1,12,DL,JAX,JFK,NO_DELAY
5,6,DL,SDF,ATL,NO_DELAY
8,18,WN,LAS,RNO,NO_DELAY
3,19,OO,ORD,MDT,NO_DELAY
9,12,AA,TPA,MIA,NO_DELAY
9,6,UA,GEG,DEN,NO_DELAY
7,6,OO,SBN,ATL,NO_DELAY
2,11,WN,RSW,BWI,NO_DELAY
3,20,OO,DFW,BTR,NO_DELAY
7,17,B6,LGB,LAS,NO_DELAY
12,17,AS,SEA,LAX,MINOR_DELAY
8,12,OO,MDW,DTW,NO_DELAY
3,6,UA,RSW,DEN,NO_DELAY
7,16,UA,SFO,IAD,NO_DELAY
7,11,NK,DTW,LAS,NO_DELAY
1,9,AA,DFW,TPA,NO_DELAY
7,9,WN,BWI,SLC,NO_DELAY
12,7,AA,JAX,CLT,MINOR_DELAY
9,14,DL,CVG,ATL,NO_DELAY
4,6,WN,LAS,SAN,NO_DELAY
3,11,UA,LAS,ORD,MINOR_DELAY
1,5,OO,SPI,ORD,MINOR_DELAY
6,15,B6,BOS,RSW,NO_DELAY
3,7,AA,IAH,MIA,MINOR_DELAY
6,11,OO,ACV,SFO,MINOR_DELAY
12,9,HA,LIH,OGG,NO_DELAY
6,9,WN,MDW,OMA,NO_DELAY
2,11,UA,DEN,RNO,NO_DELAY
10,21,WN,BWI,ATL,MINOR_DELAY
7,13,WN,SAT,TPA,NO_DELAY
4,7,OO,COS,ORD,NO_DELAY
6,8,HA,HNL,LIH,NO_DELAY
12,7,NK,FLL,DEN,NO_DELAY
11,11,OO,SLC,BZN,NO_DELAY
11,12,OO,BQK,ATL,NO_DELAY
12,14,AA,MIA,DCA,NO_DELAY
8,13,F9,GSP,MCO,NO_DELAY
3,12,G4,SFB,MKE,NO_DELAY
8,21,OO,ORD,TYS,NO_DELAY
4,17,AA,LAS,ORD,MAJOR_DELAY
5,19,OH,GNV,CLT,NO_DELAY
9,11,WN,PHX,DAL,NO_DELAY
9,19,MQ,BRO,DFW,NO_DELAY
7,9,MQ,CLT,GSO,NO_DELAY
1,7,UA,IAH,AUS,NO_DELAY
12,11,OO,SNA,LAS,MINOR_DELAY
1,10,OH,IND,CLT,NO_DELAY
11,5,OO,MBS,ORD,NO_DELAY
1,12,9E,PIT,BOS,MINOR_DELAY
9,5,YV,COU,DFW,NO_DELAY
7,10,HA,LIH,HNL,NO_DELAY
10,13,OO,DEN,BZN,NO_DELAY
7,9,WN,LAX,MDW,NO_DELAY
6,5,YX,SDF,PHL,NO_DELAY
12,10,DL,SJC,SEA,MINOR_DELAY
11,17,OO,SFO,BOI,NO_DELAY
10,15,AA,LAS,ORD,NO_DELAY
11,16,DL,RIC,ATL,NO_DELAY
5,5,AA,AUS,MIA,NO_DELAY
11,20,AA,DFW,RIC,MINOR_DELAY
2,14,DL,SDF,ATL,MINOR_DELAY
1,14,WN,LAS,SNA,NO_DELAY
7,5,G4,SFB,ABE,NO_DELAY
11,7,WN,ROC,BWI,NO_DELAY
6,10,WN,PHX,EWR,NO_DELAY
5,10,AS,SFO,AUS,NO_DELAY
7,15,OH,PHL,CHS,NO_DELAY
3,20,NK,FLL,DTW,NO_DELAY
10,9,OH,GNV,CLT,NO_DELAY
11,6,WN,CLT,BNA,NO_DELAY
